id,complaint_text,category,sentiment,rating,confidence,created_at
1,"I purchased the OmniStream 4K Pro hub last month hoping it would solve my connectivity problems, but it has been a nightmare of technical glitches from day one. 
Initially, the installation process was smooth, but as soon as I tried to bridge it with my existing mesh network, the device started power cycling randomly. 
I checked the event logs, and it keeps throwing a 'Error 505: Gateway Timeout' every time I attempt a firmware update. 
I’ve tried resetting it to factory settings three times, changing the DNS configuration, and even swapping out the CAT6 cables, but the packet loss is still sitting at around 15% during peak hours. To make matters worse, the companion app crashes on Android 14 whenever I try to access the advanced settings to toggle the firewall. This isn't just a user error; there is clearly a bug in the latest patch that conflicts with legacy router protocols. I need a developer to look at my logs or I need a full refund because this hardware is currently serving as an expensive paperweight.
","Technical Issues",Bad,1,0.431858,"2026-02-03 12:21:28"
2,"I purchased the OmniStream 4K Pro hub last month hoping it would solve my connectivity problems, but it has been a nightmare of technical glitches from day one. 
Initially, the installation process was smooth, but as soon as I tried to bridge it with my existing mesh network, the device started power cycling randomly. 
I checked the event logs, and it keeps throwing a 'Error 505: Gateway Timeout' every time I attempt a firmware update. 
I’ve tried resetting it to factory settings three times, changing the DNS configuration, and even swapping out the CAT6 cables, but the packet loss is still sitting at around 15% during peak hours. To make matters worse, the companion app crashes on Android 14 whenever I try to access the advanced settings to toggle the firewall. This isn't just a user error; there is clearly a bug in the latest patch that conflicts with legacy router protocols. I need a developer to look at my logs or I need a full refund because this hardware is currently serving as an expensive paperweight.
","Technical Issues",Bad,1,0.431858,"2026-02-03 14:45:51"
3,"i ordered this package two weeks ago and the tracking hasnt updated since last tuesday i need this for a birthday gift","Delivery Issues",Bad,1,0.88,"2026-02-03 15:27:51"
4,"the delivery was incredibly fast i ordered it yesterday afternoon and it was on my doorstep by am today amazing service","Delivery Issues",Best,5,0.85,"2026-02-03 15:27:51"
5,"the box arrived a bit crushed on the corner the item inside was fine but the presentation was lacking","Delivery Issues",Average,3,0.62,"2026-02-03 15:27:51"
6,"driver threw the package over the fence my dog nearly got to it please train your drivers better","Delivery Issues",Bad,1,0.79,"2026-02-03 15:27:51"
7,"it arrived on time but they left it in the rain despite having a covered porch right there validated but annoyed","Delivery Issues",Average,3,0.55,"2026-02-03 15:27:51"
8,"seamless delivery experience the tracking link was accurate down to the minute thanks","Delivery Issues",Best,5,0.89,"2026-02-03 15:27:51"
9,"package was marked as delivered but i never received it neighbors dont have it either","Delivery Issues",Bad,1,0.82,"2026-02-03 15:27:51"
10,"standard shipping speed nothing to write home about but it got here safely","Delivery Issues",Average,3,0.45,"2026-02-03 15:27:51"
11,"arrived a day late which was annoying but at least it wasnt lost","Delivery Issues",Fair,2,0.55,"2026-02-03 15:27:51"
12,"i was doublecharged for this transaction one charge is pending and the other went through please refund the duplicate","Billing & Payment Issues",Bad,1,0.9,"2026-02-03 15:27:51"
13,"the checkout process was super smooth i love that you accept apple pay now made it so much faster","Billing & Payment Issues",Best,5,0.81,"2026-02-03 15:27:51"
14,"im confused by the invoice there is a service fee listed that wasnt mentioned on the product page","Billing & Payment Issues",Average,3,0.67,"2026-02-03 15:27:51"
15,"my refund was processed immediately after i cancelled usually companies take days appreciate the speed","Billing & Payment Issues",Best,5,0.84,"2026-02-03 15:27:51"
16,"why did my subscription renew without a reminder email i wanted to cancel before this month","Billing & Payment Issues",Fair,2,0.75,"2026-02-03 15:27:51"
17,"the price is fair but the currency conversion rate applied seemed a bit high compared to the market rate","Billing & Payment Issues",Average,3,0.58,"2026-02-03 15:27:51"
18,"hidden fees at the very last step of checkout this is deceptive marketing","Billing & Payment Issues",Bad,1,0.88,"2026-02-03 15:27:51"
19,"receipt generation failed i need a vat invoice for my company expenses and cant find it anywhere","Billing & Payment Issues",Fair,2,0.71,"2026-02-03 15:27:51"
20,"payment went through easily though i wish there were more installment options","Billing & Payment Issues",Good,4,0.66,"2026-02-03 15:27:51"
21,"the build quality is terrible it fell apart after just one use cheap plastic garbage","Product Quality Issues",Bad,1,0.89,"2026-02-03 15:27:51"
22,"honestly this is the best purchase ive made all year the material feels premium and durable","Product Quality Issues",Best,5,0.86,"2026-02-03 15:27:51"
23,"its okay for the price point does the job but dont expect it to last forever","Product Quality Issues",Average,3,0.52,"2026-02-03 15:27:51"
24,"the color is completely different from the photos on the website it looks blue online but its clearly purple","Product Quality Issues",Fair,2,0.78,"2026-02-03 15:27:51"
25,"exceeded my expectations the craftsmanship is topnotch and it looks beautiful in my living room","Product Quality Issues",Best,5,0.88,"2026-02-03 15:27:51"
26,"the stitching is a little loose on the hem but otherwise its a decent shirt","Product Quality Issues",Average,3,0.49,"2026-02-03 15:27:51"
27,"stopped working after three days changed the batteries and still nothing returning immediately","Product Quality Issues",Bad,1,0.85,"2026-02-03 15:27:51"
28,"perfect fit and finish exactly what i was looking for","Product Quality Issues",Best,5,0.8,"2026-02-03 15:27:51"
29,"smells weirdly like chemicals right out of the box had to air it out for two days","Product Quality Issues",Fair,2,0.65,"2026-02-03 15:27:51"
30,"the customer service agent sarah was an absolute angel she resolved my complex issue in minutes","Customer Service Issues",Best,5,0.87,"2026-02-03 15:27:51"
31,"i sat on hold for minutes just to be disconnected this is the worst support i have ever experienced","Customer Service Issues",Bad,1,0.89,"2026-02-03 15:27:51"
32,"the representative was polite but didnt really have the authority to fix my problem they had to escalate it","Customer Service Issues",Average,3,0.56,"2026-02-03 15:27:51"
33,"chatbot is useless it keeps looping the same three answers let me talk to a human","Customer Service Issues",Bad,1,0.83,"2026-02-03 15:27:51"
